WKT,name,description,nome,latitudine,longitudine
"POLYGON ((9.102351 45.459724, 9.102442 45.459502, 9.10307 45.459602, 9.102906 45.459837, 9.102351 45.459724))",Muretti Iqbal,,,45.459724,9.102351
POINT (9.1128637 45.4318935),Muri Rossi Corsico,,,45.4318935,9.1128637
"POLYGON ((9.112661 45.431797, 9.112716 45.431744, 9.112871 45.431812, 9.112931 45.43185, 9.112934 45.431903, 9.112916 45.431936, 9.112994 45.431973, 9.112944 45.432026, 9.112974 45.432039, 9.112939 45.432075, 9.112889 45.432056, 9.112901 45.432044, 9.112829 45.432014, 9.112883 45.431943, 9.112806 45.43191, 9.112825 45.43187, 9.112661 45.431797))",Muri Rossi Corsico,,,45.431797,9.112661
POINT (9.109107 45.4389599),Muri Rossi 2 Corsico,,,45.4389599,9.109107
"POLYGON ((9.108772 45.438895, 9.108806 45.438841, 9.109072 45.438922, 9.109158 45.438782, 9.10922 45.438811, 9.109158 45.438907, 9.109265 45.438942, 9.109177 45.439076, 9.109303 45.439116, 9.109252 45.43917, 9.109018 45.439102, 9.109069 45.439029, 9.109002 45.439012, 9.108933 45.439098, 9.108804 45.439102, 9.108729 45.439065, 9.108739 45.438982, 9.108796 45.438946, 9.108863 45.438933, 9.108772 45.438895))",Muri Rossi 2 Corsico,,,45.438895,9.108772
POINT (9.1713538 45.4982661),Muri Rossi Dergano,May get kicked off,,45.4982661,9.1713538
"GEOMETRYCOLLECTION (POLYGON ((9.171654 45.498379, 9.171831 45.498396, 9.171794 45.498545, 9.171619 45.498516, 9.171654 45.498379)), POLYGON ((9.171381 45.498053, 9.171249 45.498037, 9.171302 45.497897, 9.171438 45.497918, 9.171381 45.498053)))",Muri Rossi Dergano,May get kicked off,,,
POINT (9.248324 45.515878 0.0),Muri Rotti Adriano,,,45.515878,9.248324
"POLYGON ((9.248183 45.515898, 9.24808 45.515776, 9.248416 45.515664, 9.248501 45.515788, 9.248183 45.515898))",Muri Rotti Adriano,,,45.515898,9.248183
POINT (9.102792 45.428529 0.0),Panchine Corsico,,,45.428529,9.102792
"POLYGON ((9.102817 45.428624, 9.102805 45.428624, 9.102763 45.428611, 9.102789 45.428567, 9.102754 45.42849, 9.102352 45.42839, 9.102238 45.428461, 9.102183 45.428446, 9.1022 45.428409, 9.102278 45.42843, 9.102349 45.428384, 9.102441 45.428199, 9.10242 45.428124, 9.102361 45.428108, 9.102382 45.428063, 9.102452 45.428078, 9.102428 45.428116, 9.102452 45.428198, 9.102845 45.428298, 9.102924 45.428276, 9.102948 45.428225, 9.103011 45.428243, 9.102983 45.428292, 9.102934 45.428281, 9.102869 45.428305, 9.102871 45.428318, 9.102805 45.428448, 9.102754 45.428435, 9.102813 45.428319, 9.10248 45.428232, 9.102411 45.428364, 9.10277 45.42846, 9.102801 45.428564, 9.102853 45.428578, 9.102817 45.428624))",Panchine Corsico,,,45.428624,9.102817
POINT (9.1157344 45.4333491),Panchine 2 Corsico,,,45.4333491,9.1157344
"POLYGON ((9.11561 45.43336, 9.115696 45.433254, 9.115867 45.433325, 9.115811 45.433394, 9.115704 45.433352, 9.115671 45.433383, 9.11561 45.43336))",Panchine 2 Corsico,,,45.43336,9.11561
POINT (9.176346 45.498984 0.0),Parco Dergano,,,45.498984,9.176346
"POLYGON ((9.176468 45.499074, 9.176424 45.499029, 9.176458 45.499006, 9.176468 45.498975, 9.176454 45.49894, 9.176412 45.498918, 9.176366 45.498911, 9.176334 45.498924, 9.176303 45.498944, 9.17624 45.498903, 9.176295 45.498868, 9.176381 45.498853, 9.176479 45.49887, 9.176541 45.498922, 9.176556 45.498985, 9.176526 45.499048, 9.176468 45.499074))",Parco Dergano,,,45.499074,9.176468
POINT (9.112007 45.440963 0.0),Parco Corsico,i would hardly consider this a spot.,,45.440963,9.112007
"GEOMETRYCOLLECTION (POLYGON ((9.110904 45.4391319, 9.1108503 45.439194, 9.1107001 45.4391469, 9.1107457 45.4390622, 9.110904 45.4391319)), POLYGON ((9.1130363 45.4399185, 9.1127493 45.4398508, 9.112811 45.439815, 9.1128191 45.4397492, 9.1131087 45.4398433, 9.1130363 45.4399185)), POLYGON ((9.1114592 45.4405509, 9.1115879 45.4406337, 9.1114994 45.4406826, 9.1114753 45.4407711, 9.1113304 45.440677, 9.1114002 45.4406337, 9.1114592 45.4405509)), POLYGON ((9.1105419 45.4399844, 9.1104963 45.4399976, 9.1105016 45.4400428, 9.110448 45.4401199, 9.1102656 45.4400089, 9.1103702 45.4399505, 9.1103461 45.4398809, 9.1105419 45.4399844)), POLYGON ((9.1124167 45.440948, 9.1127332 45.4409724, 9.1126394 45.4410346, 9.1127118 45.4410967, 9.1127145 45.4411512, 9.1127627 45.44133, 9.1126635 45.4414147, 9.1124623 45.441394, 9.1126179 45.4412961, 9.1125884 45.4412002, 9.1124945 45.4410327, 9.1124167 45.440948)))",Parco Corsico,,,,
,,,,,
POINT (9.087512 45.461493 0.0),Parco Val d'Intelvi,,,45.461493,9.087512
"GEOMETRYCOLLECTION (POLYGON ((9.087788 45.461552, 9.087787 45.461553, 9.087617 45.461494, 9.087788 45.461552)), POLYGON ((9.087617 45.461494, 9.087282 45.46138, 9.08733 45.461323, 9.087652 45.461432, 9.087617 45.461494)), POLYGON ((9.087845 45.461573, 9.087535 45.461665, 9.087502 45.46172, 9.087477 45.461758, 9.087424 45.461737, 9.087444 45.4617, 9.087499 45.461714, 9.087516 45.461686, 9.087484 45.461651, 9.087495 45.46163, 9.087524 45.461637, 9.087787 45.461553, 9.087845 45.461573)))",Parco Val d'Intelvi,,,,
POINT (9.113998 45.454256 0.0),Parcheggio Bisceglie,Very high chance of getting kicked off if you go inside the parking lot,,45.454256,9.113998
"POLYGON ((9.1125 45.45394, 9.112591 45.453706, 9.114924 45.454094, 9.114796 45.454406, 9.114511 45.454357, 9.114533 45.454316, 9.1125 45.45394))",Parcheggio Bisceglie,Very high chance of getting kicked off if you go inside the parking lot,,45.45394,9.1125
"POLYGON ((9.0826801 45.5129038, 9.0826841 45.5128634, 9.0833171 45.5128944, 9.0833077 45.512932, 9.0826801 45.5129038))",Pero's Tigros Plyos,,,45.5129038,9.0826801
,High and long plyos, marcio level stuff,,,
POINT (9.112322 45.430534 0.0),Piazza I Maggio Corsico,,,45.430534,9.112322
"GEOMETRYCOLLECTION (POLYGON ((9.112045 45.430591, 9.112131 45.43062, 9.112102 45.430653, 9.112022 45.430621, 9.112045 45.430591)), POLYGON ((9.111888 45.430343, 9.111727 45.430551, 9.111636 45.430519, 9.111794 45.430307, 9.111888 45.430343)), POLYGON ((9.112183 45.430419, 9.112116 45.430395, 9.112138 45.430366, 9.112205 45.430391, 9.112183 45.430419)), POLYGON ((9.112087 45.430347, 9.112068 45.430359, 9.112032 45.430345, 9.112069 45.430294, 9.112112 45.430312, 9.112087 45.430347)))",Piazza I Maggio Corsico,,,,
POINT (9.196441 45.480796 0.0),Piazza Bardi,,,45.480796,9.196441
"POLYGON ((9.19633 45.480735, 9.196456 45.480688, 9.196484 45.480713, 9.196506 45.480768, 9.196369 45.4808, 9.19633 45.480735))",Piazza Bardi,,,45.480735,9.19633
POINT (9.220559 45.453429 0.0),Piazza Insubria,,,45.453429,9.220559
"GEOMETRYCOLLECTION (POLYGON ((9.220487 45.45316, 9.22031 45.453156, 9.220312 45.452968, 9.220487 45.45297, 9.220487 45.45316)), POLYGON ((9.220487 45.453651, 9.220704 45.453649, 9.220693 45.453946, 9.220422 45.453946, 9.220422 45.453645, 9.220487 45.453651)))",Piazza Insubria,,,,
POINT (9.190575 45.47695 0.0),Piazza Mattarella,,,45.47695,9.190575
"GEOMETRYCOLLECTION (POLYGON ((9.190572 45.476841, 9.1906 45.476912, 9.190496 45.47693, 9.190471 45.476857, 9.190572 45.476841)), POLYGON ((9.190801 45.47702, 9.190849 45.477165, 9.190712 45.477181, 9.190699 45.477133, 9.190609 45.47714, 9.190573 45.477071, 9.190564 45.47706, 9.190801 45.47702)))",Piazza Mattarella,,,,
POINT (9.245985 45.480149 0.0),Pietre Rubattino,,,45.480149,9.245985
"POLYGON ((9.24583 45.480098, 9.245845 45.480068, 9.246557 45.48024, 9.24652 45.480329, 9.246487 45.480322, 9.246505 45.480263, 9.24583 45.480098))",Pietre Rubattino,,,45.480098,9.24583
POINT (9.103436 45.429433 0.0),Ponte Verde Corsico,,,45.429433,9.103436
"POLYGON ((9.103826 45.429021, 9.103816 45.429064, 9.103649 45.429028, 9.103631 45.429049, 9.103636 45.429169, 9.103751 45.429194, 9.10373 45.429243, 9.103622 45.42922, 9.103515 45.429284, 9.103338 45.429252, 9.103344 45.429337, 9.103556 45.429401, 9.103585 45.429346, 9.103655 45.429361, 9.103617 45.429456, 9.103531 45.429438, 9.103298 45.42938, 9.103223 45.429342, 9.103411 45.42896, 9.103515 45.428942, 9.103826 45.429021))",Ponte Verde Corsico,,,45.429021,9.103826
POINT (9.245825 45.470739 0.0),Ponte Ortica,,,45.470739,9.245825
"POLYGON ((9.245798 45.470748, 9.245872 45.470677, 9.245947 45.470702, 9.245892 45.470778, 9.245857 45.470767, 9.245538 45.471154, 9.245564 45.471164, 9.245507 45.471233, 9.245442 45.47121, 9.245497 45.471146, 9.245531 45.471152, 9.245851 45.470765, 9.245798 45.470748))",Ponte Ortica,,,45.470748,9.245798
POINT (9.171062 45.437804 0.0),Raccordo Famagosta,,,45.437804,9.171062
"POLYGON ((9.170876 45.437782, 9.170809 45.437714, 9.17096 45.437588, 9.170801 45.437485, 9.170882 45.437406, 9.171072 45.437362, 9.171214 45.437442, 9.171161 45.437611, 9.171399 45.437746, 9.171338 45.437803, 9.170876 45.437782))",Raccordo Famagosta,,,45.437782,9.170876
POINT (9.1688132 45.4494651),Romolo 2 Back,,,45.4494651,9.1688132
,,,,,
