WKT,name,description,latitudine,longitudine
"POLYGON ((9.102629 45.502691, 9.102731 45.502691, 9.102726 45.502641, 9.102929 45.502477, 9.103222 45.502637, 9.102962 45.502838, 9.10276 45.502735, 9.102734 45.502757, 9.102629 45.502691))",San Leonardo 2,,45.502691,9.102629
POINT (9.100881 45.498057 0.0),San Leonardo 3,You'll get kicked off quite quick,45.498057,9.100881
"POLYGON ((9.100954 45.498681, 9.100675 45.498722, 9.100461 45.498049, 9.100423 45.497953, 9.10042 45.497893, 9.100705 45.497713, 9.100823 45.497735, 9.101024 45.497293, 9.101563 45.4974, 9.101558 45.497431, 9.101038 45.497327, 9.100898 45.497636, 9.100874 45.497632, 9.100831 45.497739, 9.101456 45.497878, 9.101367 45.498044, 9.101067 45.497976, 9.101115 45.49788, 9.10085 45.497837, 9.100818 45.497856, 9.100777 45.49785, 9.100748 45.497904, 9.100692 45.49791, 9.100654 45.497929, 9.100651 45.497957, 9.100673 45.497985, 9.100724 45.497991, 9.100742 45.497993, 9.100954 45.498681))",San Leonardo 3,,45.498681,9.100954
POINT (9.2289986 45.5266258),Sesto Marelli,,45.5266258,9.2289986
"GEOMETRYCOLLECTION (POLYGON ((9.229357 45.526711, 9.22993 45.526637, 9.22993 45.526638, 9.229357 45.526711)), POLYGON ((9.229191 45.526733, 9.22913 45.526534, 9.229173 45.526528, 9.229233 45.526727, 9.229357 45.526711, 9.229191 45.526733)), POLYGON ((9.228336 45.526353, 9.228153 45.526376, 9.228191 45.526479, 9.227928 45.526522, 9.227909 45.526449, 9.227668 45.526487, 9.227598 45.526272, 9.228284 45.526178, 9.228336 45.526353)), POLYGON ((9.22993 45.526638, 9.231568 45.526428, 9.231316 45.527208, 9.2305 45.527062, 9.2305 45.526977, 9.230484 45.526919, 9.230401 45.526855, 9.23031 45.526831, 9.230178 45.52684, 9.230093 45.526889, 9.230063 45.52693, 9.23005 45.527007, 9.229784 45.527009, 9.22993 45.526638)))",Sesto Marelli,,,
POINT (9.2440364 45.5268237),Sesto Via Milano,,45.5268237,9.2440364
"POLYGON ((9.2438219 45.5270473, 9.243846 45.5265926, 9.2445715 45.5266095, 9.2453655 45.5268651, 9.2454647 45.5268219, 9.2457544 45.5268632, 9.2456632 45.5272202, 9.245513 45.5272014, 9.2455237 45.5271432, 9.2445823 45.5270511, 9.2438219 45.5270473))",Sesto Via Milano,,45.5270473,9.2438219
POINT (9.374854 45.494237 0.0),Stazione Vignate,,45.494237,9.374854
"POLYGON ((9.374628 45.494202, 9.374606 45.494067, 9.375439 45.494225, 9.375401 45.49427, 9.374628 45.494202))",Stazione Vignate,,45.494202,9.374628
POINT (9.232158 45.521859 0.0),Uni Sesto,,45.521859,9.232158
"POLYGON ((9.232142 45.522271, 9.232239 45.521839, 9.2321705 45.5218361, 9.2322418 45.5215031, 9.232311 45.52151, 9.232352 45.521279, 9.23247 45.521292, 9.232287 45.522282, 9.232142 45.522271))",Uni Sesto,,45.522271,9.232142
"POLYGON ((9.11817 45.492023, 9.118454 45.491921, 9.118528 45.492014, 9.118242 45.492115, 9.11817 45.492023))",Uruguay,,45.492023,9.11817
